Page,Title,Type,Location,Size,Price,Links,Description
1,Commercial For sale in Downtown,Commercial,"الداون تاون, العاصمة الإدارية الجديدة",61 M²,"5,066,656EGP",https://aqarmap.com.eg/en/listing/3163597-for-sale-cairo-new-administrative-capital-ldwn-twn,Commercial For sale in Downtown
1,Apartment For sale in Nasr City,Apartments,"الحديقة الدولية, مدينة نصر",70 M²,"620,000EGP",https://aqarmap.com.eg/en/listing/3199492-for-sale-cairo-nasr-city-el-hadeqa-el-dawleya,Area: 70mFourth Floor2 bedrooms + 1 bathroomSuper Lux
1,Grave For sale in Other neighborhoods In New Cairo,Grave,"مناطق فرعية بالقاهرة الجديدة, القاهرة الجديدة - التجمع الخامس",40 M²,"250,000EGP",https://aqarmap.com.eg/en/listing/3199404-for-sale-cairo-new-cairo-mntq-fr-y-blqhr-ljdyd,Grave For sale in Other neighborhoods In New Cairo
1,Office for sale 120m in West Lane Mall - 6 October,Offices,6 October,120 M²,"5,137,840EGP",https://aqarmap.com.eg/en/listing/2801136-projects-west-lane,"6th of October City is one of the new cities that has increased in demand recently because it has a lot of features that make your residential, commercial, or administrative project in a special place and an excellent strategic location, so you guarantee success and excellence of your project and you will be able to provide the best service and the best quality at the most reasonable prices.Brief on West Lane Mall in the 6th of October CityWest Lane Mall is distinguished by its privileged location in the heart of the 6th of October City. West Lane Mall includes a large number of commercial, administrative, and medical units that provide an outstanding service to the residents residing in the 6th of October City, as Westline Mall is surrounded by a large number of residential compounds, which increased the demand for the mall.The Real Estate Developer of West Lane Mall in the 6th of October CityPalm Hills Company has a good reputation in the real estate market, as it was founded in 2005 and was able during that period to achieve great successes and to add to the real estate market in Egypt a distinguished and innovative group of residential, commercial, medical and tourism projects. Previous Works of Palm Hills Company Palm Hills has been able to offer a distinguished number of distinctive projects, most of which are located in new cities such as New Cairo and 6th of October City, in addition to many tourism projects.New CairoThe most prominent projects of Palm Hills in New Cairo are Village Gardens Katameya Compound, Village Avenue Compound, The Village Compound, Palm Hills Katameya Compound, Palm Hills Katameya 2 Compound, Capital Gardens Compound, Palm Hills Compound New Cairo.The 6th of October CityThe most prominent projects of Palm Hills in 6th of October City are Palm Parks Compound, The Crown Palm Hills Compound, Badya Palm Hills Compound, Bamboo Extension Compound, Wood Vale Compound, Palm Valley Compound, Palm Hills October Compound, Casa Sheikh Zayed Compound, Hole Project Town, Golf Central Administrative Project.Palm Hills Tourism Company ProjectsThe most prominent projects of Palm Hills Touristic Company are Palm Hills Alexandria Compound, Hacienda Bay North Coast Village, Hacienda White North Coast Village, and Tawaya Sahl Hasheesh Resort.Areas of Units in West Lane MallWest Lane Mall includes many different types of units, whether commercial, administrative, or medical, so the mall offers a variety of services to visitors, making you find all the services you need in one place, as the areas of the medical units start from 54 square meters, while the areas of the administrative units start From 60 square meters, and finally commercial units start from 127 square meters.Design of West Lane Mall in the 6th of October CityWest Lane Mall extends over an area of ​​56 thousand square meters, and this space is a suitable space for the establishment of a full-service mall. They are allocated to medical clinics and administrative offices, as West Line Mall includes 249 administrative units, 43 medical units, and 37 commercial units, in addition to 35 Food Court units, 7 banks, and 3 pharmacies.West Lane Mall is distinguished by its genius design inspired by European countries to make you feel as if you are wandering in many different countries and cities such as Rome, Athens, and Sicily.Features of West Lane Mall in the 6th of October CityIts privileged location, which made it close to many vital areas and residential compounds, increased the chances of turnout, increased sales, and increased demand for mall services, and the location of the mall is near the main roads made it easy and simple to access.Westline Mall guarantees you a great investment opportunity in the heart of the 6th of October City, where you can get your commercial unit and start your business in one of the most prestigious locations in the 6th of October City.The diversity of unit spaces in West Lane Mall has provided investors and business owners with a great opportunity for each customer to find what suits his needs and the size of his project.The semi-finished unit delivery system gave the customer a great opportunity to choose the decorations that suit the activity of his unit, whether commercial, administrative, or medical.Available Services in West Lane Mall in the 6th of October CityWest Lane Mall has a large number of services that have attracted many visitors daily, and these services are as follows:-A large group of shops selling the most famous international brands and well-known brands, so shopaholics will find great pleasure and can buy everything they need-A luxurious chain of restaurants and cafes that serve the most delicious dishes, the best food, and drinks in a wonderful atmosphere full of vitality and romance-Entertainment places for children are many electronic and computer games to give your child an interesting and entertaining time and increase his IQ and activity-Elevators and escalators for ease of movement and movement between floors, and due to the presence of many medical clinics on the first and second floors, these elevators were provided to patients-Household supplies and consumer goods so that the residents of the surrounding residential compounds can easily purchase their needs-24-hour pharmacies, in addition to many banks and automated teller machines (ATMs) that operate throughout the day, night, and day-Dedicated parking garages so that mall visitors can find a safe place to leave their cars without causing any traffic jams in front of the mallPayment Systems in West Lane MallAs usual, Palm Hills offers its customers easy payment and payment systems so that each customer can achieve his dream of obtaining his unit and take his first steps towards a better future for his project.You can get your unit in West Line Mall by paying 10% down payment of the total unit price, then pay 5% after 3 months, then pay the rest in installments over 6 years without interest.Prices of Units in West Lane MallThe prices of the units in the West Lane Mall vary according to its activity, whether it is a commercial unit, an administrative unit, or a medical unit. The price also varies according to the unit’s space and location in the mall.A Great Investment Opportunity in the 6th of October CityOwning a unit in West Lane Mall is an indispensable investment opportunity due to several reasons, the most important of which is its privileged location near many residential compounds, as well as its proximity to the Ring Road, Mehwar Road, Al Wahat Road, and Dahshur link that made it easy to access, and the diversity of the mall's activity increased the rate of turnout."
1,Office for sale 196m in Zed Strip Mall - Sheikh Zayed,Offices,Sheikh Zayed,196 M²,"11,657,000EGP",https://aqarmap.com.eg/en/listing/2840172-projects-zed-strip,"Zed Strip Mall:Zed Strip Mall Sheikh Zayed is located in the heart of Sheikh Zayed City, where its location is one of the distinct and vital sites where the site contains a set of features such as its proximity to public transport, and this mall is located in an area of ​​60 acres, where the largest area has been allocated to green spaces and industrial lakes And gardens, in order for it to be a mall that overlooks a wonderful and distinctive view, and Z Company for Investment and Real Estate Development has provided easy methods of payment and payment.Developer:An Investment and Real Estate Development Company has considered one of the largest companies specialized in the field of construction and construction, as the company has established a group of major projects in the New Administrative Capital and in Sheikh Zayed City, as the company has a long history in the field of investment, and the company has distinguished human cadres in the field of Building.The company started its work in 1999, and the company was distinguished by a group of features that are not found in the Egyptian companies, including the diversity of spaces and prices to suit all financial classes of customers, and the company gives customers types of installments to suit everyone, with annual installments of up to 40 months.Services:Health club.Restaurants and cafes.Electric lifts.Gym and spa.administrative offices.Commercial area.The area of ​​the Zed Towers has been divided from 97 meters to 250 meters, and the units may be delivered to customers with complete finishes, and the units are also characterized by air conditioning, and there is a private garage for residents.Location:The company has chosen the site for this project to be near Hyper One Sheikh Zayed and Knob Al Rabwa, as this project is located on an area of ​​65 acresPayment Plan:10% down payment of the unit value, provided that the remaining amount is to be paid in installments over 6 years."
1,فيلا للبيع 440م في داره جاردنز - 6 اكتوبر,Separate Villa,6 October,440 M²,"8,800,000EGP",https://aqarmap.com.eg/en/listing/2837356-projects-dara-gardens,داره جاردنز:تقع حدائق دارة في مدينة تم اقتطاعها من الصحراء وازدهرت في غضون 25 عامًا فقط ، وتتميز بموقع استراتيجي في مدينة السادس من أكتوبر خلف نادي الصيد. تم إطلاقه في عام 2004 وتم بناؤه على مساحة 197000 متر مربع تضم الآن 216 فيلا والعديد من مناطق البيع بالتجزئة. إلى جانب ضمان نمط الحياة الذي تتوق إليه ، تتمتع حدائق دارة بشعور عالٍ من الخصوصية والأمان. الإقامة هناك يعني أنك محظوظ بما يكفي للاستمتاع بالحدائق الخاصة وحمامات السباحة مع إطلالة على الفيلات المصممة بشكل جميل.المطور:تعد شركة الأهلي صبور للتنمية العقارية هي الشركة المنفذة لمشروع كمبوند جرين سكوير، كما أكدت الشركة على أن المشروع تم تنفيذه باستثمارات وصلت إلى 2 مليار جنيه مصري، ويقع ذلك المشروع بجوار المشاريع الأخرى التي تقيمها الشركة في المنطقة ذاتها والتي من بينها مشروع لافينير، وقد تأسست الشركة عام 1994 والتي تعد من أوائل الشركات الهندسية التي تعمل في مجال الإستثمار العقاري وتمتلك عائلة صبور 60% من الشركة.بينما يستحوذ البنك الأهلي المصري على 40% منها وقد عملت الشركة الكثير من المشاريع والتي من بينها التجارية والسكنية والرياضية ومن بين المشاريع التي نفذتها الشركة على أرض الواقع ما يلي:منتجع جاياالساحل الشمالي.كمبوند جرين سكوير المستقبل سيتي.كمبوند كيفا 6 أكتوبر.كمبوند أمواج في الساحل الشمالي.كمبوند ليان بالقاهرة الجديدة.كمبوند لافينير بالقاهرة الجديدة.كمبوند أريا صبور المستقبل سيتي.كمبوند ذا سيتي أوف أوديسيا.المجمع الرياضي بلاتينيوم كلوب.كمبوند قطامية هيلز في التجمع الخامس.الخدمات:تتعدد الخدمات داخل الكمبوند ومنها ما يلي:مول تجاري ضخم.أمن وحراسة على مدار 24 ساعة.كلوب هاوس.العديد من المساحات الخضراء.الملاعب الرياضية.حمامات سباحة.بالإضافة إلى توفير المزيد من الخدمات الأخرى التي تهدف إلى جعل جرين سكوير تجمع سكني متكامل.الموقع:في 6 اكتوبر خلف نادي الصيدأنظمة الدفع:تم التسليم
1,For Sale - Patio 2 Twin House,Twin House,"Villa 38A , El Patio 2, Mehwar El Sadat, Facing Gate 6 El Rehab",575 M²,"10,000,000EGP",https://aqarmap.com.eg/en/listing/3197427-for-sale-cairo-new-cairo-compounds-el-patio-2,"Twin House with located in the center of the cluster and overlooking the pool complex and beautiful landscapes.Includes full basement with big main kitchen, Laundry/utility room, storage rooms, 3 rooms for maid/driver/staff, and bathroom.Indoor parking for 3 cars. Outdoor parking for additional 4-5 cars.Building designed for elevator servicing all 4 levels.Ground level includes kitchenette, large dinning room, huge reception area, guest bathroom and terrace overlooking big garden area.First floor includes master bedroom with walk-in closet and spacious ensuite bathroom. Two more bedrooms with shared bathroom. Large upstairs living room overlooking the garden with balcony.Roof level includes guest bedroom with adjoining bathroom with front and back terraces."
1,Commercial For sale in Mega Mall - Pyramids Developments,Stores,"ميجا مول - بيراميدز للتطوير العقاري, مشاريع تجارية بالعاصمة الإدارية الجديدة",25 M²,"2,750,000EGP",https://aqarmap.com.eg/en/listing/3136037-for-sale-cairo-new-administrative-capital-new-capital-commercial-projects-myj-mwl-byrmydz-llttwyr-l-qry,Commercial For sale in Mega Mall - Pyramids Developments
1,Apartments For Sale 185m in International Garden in Nasr City,Apartments,"الحديقة الدولية, مدينة نصر",185 M²,"1,600,000EGP",https://aqarmap.com.eg/en/listing/3050774-for-sale-cairo-nasr-city-el-hadeqa-el-dawleya,sixth floorArea: 185 mInterface: Dr. Mohamed Ibrahim StNumber of rooms 3 + reception + 2 bathroomsSuper Lux finishingThere are 3 air conditioners in the unit + refrigerator + stove + dining room + bedroomsThe whole property is 11 floors and has 2 elevatorsThe unit is registered in the real estate registryThe unit is sold through Aqarmap
1,Shop 80m for sale in Triton Tower mall - New Capital,Stores,New Administrative Capital,80 M²,"4,000,000EGP",https://aqarmap.com.eg/en/listing/2945476-projects-triton-tower-mall-new-capital,"About Project:The land area is 3800 m and the project consists of ground + 13 floors.3 floors basement is a garage.From the ground floor to the third-floor shops.The fourth and fifth floors are medical clinics.Sixth to thirteenth floor administrative officesAbout Developer:RNA DEVELOPMENTSWith the confidence of our partners in the success of the projectELEVADO TOWERThe company announces the opening of reservations for the company's second projects in the administrative capitalTRITON TOWERCentral Business DistrictCBDThe company that owns the projectRNA DEVELOPMENTSIt is an Egyptian-Saudi partnership for a group of real estate developersWith experience extending to more than in the construction and construction and engineering supervision.Location:TRITON TOWER• Plot No. CN3 in the CBD Central Business District.• The project is characterized by an open view from all directions.• The first facade overlooks the main street.• While the other three facades overlook tourist corridors and green spaces.• The project is just steps away from the iconic tower, the tallest tower in Africa.• Near the Green River and the monorail station.• Minutes from the regional ring road and Al-Amal axis.Triton Tower in the Administrative Capital is the latest project in the CBD areaServices:Central powerBackup generatorpassenger elevatorsWater tanksFirefighting systemLuxury entranceCentral air conditioning system Fully integrated Parking will not exceed than 150 carsFully integrated highly advanced security systemParking will not exceedCargo elevatorVisitor management servicePayment Plan:5% down payment and facilities up to 10 years"
