Page,Title,Company_name,Address,Description,Links
1,Full Professor In Criminal Law Masters - English Program,American University in the Emirates ,"Dubai, United Arab Emirates ",Full Time | Experienced | 5 - 20 Yrs of Exp | Education/Teaching | Criminal law | Law | Teaching | Education | Communication Skills,https://wuzzuf.net/jobs/p/WJZXNxabjonv-Full-Professor-In-Criminal-Law-Masters---English-Program-American-University-in-the-Emirates-Dubai-United-Arab-Emirates?o=1&l=sp&t=sj&a=search-v3|hpb
1,Operations Intern,Future Group ,"Mohandessin, Giza, Egypt ",InternshipEntry Level | Operations/Management | Business Administration | MS Office | Operations | English,https://wuzzuf.net/jobs/p/zoeB7TmTa48X-Operations-Intern-Future-Group-Giza-Egypt?o=2&l=sp&t=sj&a=search-v3|hpb
1,Senior Medical Sales,Sky Medical for Medical Devices ,"Mahta Alraml, Alexandria, Egypt ",Full Time | Experienced | 5+ Yrs of Exp | Sales/Retail | Sales | Sales Target | Wholesale | Skills | Communication | Customer Service | Management | Sales Skills,https://wuzzuf.net/jobs/p/u1baT5dL6S6n-Senior-Medical-Sales-Sky-Medical-for-Medical-Devices-Alexandria-Egypt?o=3&l=sp&t=sj&a=search-v3|hpb
1,Structural Steel Shop Drawing Engineer,Max Egypt ,"Maadi, Cairo, Egypt ",Full Time | Experienced | 2 - 5 Yrs of Exp | Engineering - Construction/Civil/Architecture | Engineering - Other | Engineering | Revit | AutoCAD | Tekla | Shop Drawings | Technical Office | Steel | Structural,https://wuzzuf.net/jobs/p/RPI1sNfWRkR9-Structural-Steel-Shop-Drawing-Engineer-Max-Egypt-Cairo-Egypt?o=4&l=sp&t=sj&a=search-v3|hpb
1,Production Graphic Designer,Max Muscle ,"New Cairo, Cairo, Egypt ",Full Time | Experienced | 3 - 5 Yrs of Exp | males_only | Creative/Design/Art | Marketing/PR/Advertising | Adobe illustrator | Adobe Photoshop | Communication | design skills | designing | Experience | Graphic | Design,https://wuzzuf.net/jobs/p/AWBdeLH2WL4J-Production-Graphic-Designer-Max-Muscle-Cairo-Egypt?o=5&l=sp&t=sj&a=search-v3|hpb
1,Senior Sales Executive,Speedaf Express Egypt ,"6th of October, Giza, Egypt ",Full Time | Experienced | 3 - 6 Yrs of Exp | Logistics/Supply Chain | Sales/Retail | Sales | Ecommerce | Courier | Delivery | English | sales skills | Services | business,https://wuzzuf.net/jobs/p/tCTeXGi7TDY1-Senior-Sales-Executive-Speedaf-Express-Egypt-Giza-Egypt?o=6&l=sp&t=sj&a=search-v3|hpb
1,Full Stack Web Developer,Strategic Exhibitions & Conferences ,"Sheraton, Cairo, Egypt ",Full Time | Experienced | 3 - 5 Yrs of Exp | IT/Software Development | Engineering - Telecom/Technology | Computer Science | PHP | .Net Development | MySQL | JavaScript | HTML | CSS | Information Technology (IT),https://wuzzuf.net/jobs/p/ax9HVelXShcQ-Full-Stack-Web-Developer-Strategic-Exhibitions-Conferences-Cairo-Egypt?o=7&l=sp&t=sj&a=search-v3|hpb
1,Marketing Director,Go Khozam Development ,"New Cairo, Cairo, Egypt ",Full Time | Manager | 15 - 20 Yrs of Exp | Marketing/PR/Advertising | Marketing | Digital Marketing,https://wuzzuf.net/jobs/p/TitsfcadY4OQ-Marketing-Director-Go-Khozam-Development-Cairo-Egypt?o=8&l=sp&t=sj&a=search-v3|hpb
1,MTO (Internship Management),vivo ,"Sheraton, Cairo, Egypt ",Full Time | Entry Level | 0 - 1 Yrs of Exp | Customer Service/Support | Sales/Retail | Training/Instructor | Analysis | MTO | Sales | sales skills | Sales tar | Customer Service,https://wuzzuf.net/jobs/p/XQlUHgRFuXWG-MTO-Internship-Management-vivo-Cairo-Egypt?o=9&l=sp&t=sj&a=search-v3|hpb
1,Sales Representative,Confidential ,"New Cairo, Cairo, Egypt ",Full Time | Experienced | 1 - 5 Yrs of Exp | Customer Service/Support | Sales/Retail | Communication | Communication skills | Customer Service | Management | Negotiation | sales skills | Sales | Sales Target,https://wuzzuf.net/jobs/p/zJcudzWkJ2jV-Sales-Representative-Cairo-Egypt?o=10&l=sp&t=sj&a=search-v3|hpb
1,Sales Director (Commercial Director),Bericap ,"6th of October, Giza, Egypt ",Full Time | Senior Management | 10+ Yrs of Exp | R&D/Science | Sales/Retail | Engineering - Mechanical/Electrical | Sales | SAP | Plastics | Packaging | Chemical | Mechanical Engineering | Corporate Sales,https://wuzzuf.net/jobs/p/gJX2iW46SWfF-Sales-Director-Commercial-Director-Bericap-Giza-Egypt?o=11&l=sp&t=sj&a=search-v3|hpb
1,Insurance Sales Specialist (Bancassuranc) - Edfu,Allianz ,"Adfo, Aswan, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/HzmR9b8VcMeB-Insurance-Sales-Specialist-Bancassuranc---Edfu-Allianz-Aswan-Egypt?o=12&l=sp&t=sj&a=search-v3|hpb
1,Insurance Sales Specialist (Bancassuranc) - Shibin el-Qanater,Allianz ,"Shebeen Alqanater, Qalubia, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/Qv3D2yX9UCKY-Insurance-Sales-Specialist-Bancassuranc---Shibin-el-Qanater-Allianz-Qalubia-Egypt?o=13&l=sp&t=sj&a=search-v3|hpb
1,Insurance Sales Specialist (Bancassuranc) - Beni Suef,Allianz ,"Beni Suef, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance | Sales Target,https://wuzzuf.net/jobs/p/Lvx6Fg5aVhy8-Insurance-Sales-Specialist-Bancassuranc---Beni-Suef-Allianz-Beni-Suef-Egypt?o=14&l=sp&t=sj&a=search-v3|hpb
1,Insurance Sales Specialist (Bancassuranc) - Sohag,Allianz ,"Sohag, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance | Sales Target,https://wuzzuf.net/jobs/p/t4McLzVJaBci-Insurance-Sales-Specialist-Bancassuranc---Sohag-Allianz-Sohag-Egypt?o=15&l=sp&t=sj&a=search-v3|hpb
2,Insurance Sales Specialist (Bancassuranc) - Monufya,Allianz ,"Monufya, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/llx1dO8biguo-Insurance-Sales-Specialist-Bancassuranc---Monufya-Allianz-Monufya-Egypt?o=16&l=sp&t=sj&a=search-v3|hpb
2,Insurance Sales Specialist (Bancassuranc) - Sharm Alsheikh,Allianz ,"Sharm Alsheikh, South Sinai, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/h6nz0G3aBgSj-Insurance-Sales-Specialist-Bancassuranc---Sharm-Alsheikh-Allianz-South-Sinai-Egypt?o=17&l=sp&t=sj&a=search-v3|hpb
2,"Insurance Sales Specialist (Bancassuranc) - Port Said, Suez And Ismailia",Allianz ,"Port Said, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/zI5nF38L8cP9-Insurance-Sales-Specialist-Bancassuranc---Port-Said-Suez-And-Ismailia-Allianz-Port-Said-Egypt?o=18&l=sp&t=sj&a=search-v3|hpb
2,German Offshore Account Representative - Hurghada Site,Concentrix ,"Hurghada, Red Sea, Egypt ",Full Time | Entry Level | 0 - 5 Yrs of Exp | Customer Service/Support | Sales/Retail | Customer Service | Customer Support | Customer Care | English | Business | Data Entry | Call Center | Sales,https://wuzzuf.net/jobs/p/Es39o0BMD8Fu-German-Offshore-Account-Representative---Hurghada-Site-Concentrix-Red-Sea-Egypt?o=19&l=sp&t=sj&a=search-v3|hpb
2,Insurance Sales Specialist (Bancassuranc) - Sinai,Allianz ,"South Sinai, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/CqGoYoF6ucUb-Insurance-Sales-Specialist-Bancassuranc---Sinai-Allianz-South-Sinai-Egypt?o=20&l=sp&t=sj&a=search-v3|hpb
2,Receptionist and HR coordinator,Sinomacdi ,"New Cairo, Cairo, Egypt ",Full Time | Entry Level | 1 - 3 Yrs of Exp | Administration | Human Resources | Administration | Communication | Human Resources (HR),https://wuzzuf.net/jobs/p/USSA1eJ1EjLu-Receptionist-and-HR-coordinator-Sinoma-cdi-Cairo-Egypt?o=21&l=sp&t=sj&a=search-v3|hpb
2,Insurance Sales Specialist (Bancassuranc) - Red Sea,Allianz ,"Red Sea, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/CubFHIDsp8fY-Insurance-Sales-Specialist-Bancassuranc---Red-Sea-Allianz-Red-Sea-Egypt?o=22&l=sp&t=sj&a=search-v3|hpb
2,Insurance Sales Specialist (Bancassuranc) - Delta,Allianz ,"Dakahlia, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/x18AwhAxZQiG-Insurance-Sales-Specialist-Bancassuranc---Delta-Allianz-Dakahlia-Egypt?o=23&l=sp&t=sj&a=search-v3|hpb
2,Insurance Sales Specialist (Bancassuranc) - Upper Egypt,Allianz ,"Fayoum, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/xOUWdsvWmHy6-Insurance-Sales-Specialist-Bancassuranc---Upper-Egypt-Allianz-Fayoum-Egypt?o=24&l=sp&t=sj&a=search-v3|hpb
2,Insurance Sales Specialist (Bancassuranc) - Cairo & Giza,Allianz ,"Cairo, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Sales/Retail | Sales | Sales Skills | Insurance | Medical Insurance | Life Insurance | Bancassurance,https://wuzzuf.net/jobs/p/iQ40ttfIGj2N-Insurance-Sales-Specialist-Bancassuranc---Cairo-Giza-Allianz-Cairo-Egypt?o=25&l=sp&t=sj&a=search-v3|hpb
2,E-Commerce Product Manager,RAQAMYAT ,"Cairo, Egypt ",Full Time | Experienced | 8+ Yrs of Exp | Operations/Management | Marketing/PR/Advertising | Sales/Retail | E-Commerce | E-Marketing | business | media | Product Management | Retail | Marketing,https://wuzzuf.net/jobs/p/BAr83yUphcpL-E-Commerce-Product-Manager-RAQAMYAT-Cairo-Egypt?o=26&l=sp&t=sj&a=search-v3|hpb
2,Sales Insurance Agent,Fawry Banking & Payment Technology Services ,"Smart Village, Giza, Egypt ",Full Time | Entry Level | 0 - 2 Yrs of Exp | Sales/Retail | Insurance | Insurance Sales | Marketing | Selling | Customer Service | sales skills | Sales Target | Sales insurance | Sales,https://wuzzuf.net/jobs/p/CgGMftUX7RA0-Sales-Insurance-Agent-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=27&l=sp&t=sj&a=search-v3|hpb
2,Business Development Executive,Brainology ,"Obour City, Cairo, Egypt ",Full Time | Work From HomeEntry Level | 0 - 3 Yrs of Exp | Business Development | Marketing/PR/Advertising | Sales/Retail | Business Development | English | Sales | Marketing | Business Administration | Call Center | Inbound Calls,https://wuzzuf.net/jobs/p/Wwl96TaZbbf2-Business-Development-Executive-Brainology-Cairo-Egypt?o=28&l=sp&t=sj&a=search-v3|hpb
2,Finance Director,Confidential ,"New Cairo, Cairo, Egypt ",Full Time | Manager | 15 - 20 Yrs of Exp | Accounting/Finance | Finance | CFA | Financial Management | Financial Reporting | Real Estate | Financial Analysis,https://wuzzuf.net/jobs/p/0nYTyp12Vdiw-Finance-Director-Cairo-Egypt?o=29&l=sp&t=sj&a=search-v3|hpb
2,Media Bayer - Bionike,Magicpharma ,"6th of October, Giza, Egypt ",Full Time | Experienced | 3 - 6 Yrs of Exp | Marketing/PR/Advertising | Media/Journalism/Publishing | Media Buying | Google Analytics | Marketing | Media | blogs | Campaign,https://wuzzuf.net/jobs/p/B4ih8ppALscC-Media-Bayer---Bionike-Magicpharma-Giza-Egypt?o=30&l=sp&t=sj&a=search-v3|hpb
3,Senior Project Manager - New Administrative Capital City,Talaat Moustafa Group ,"Badr City, Cairo, Egypt ",Full Time | Manager | 15 - 20 Yrs of Exp | Engineering - Construction/Civil/Architecture | Project/Program Management | Civil Engineering | Construction | Engineering | Project Management | Projects | Civil,https://wuzzuf.net/jobs/p/lmKOweMUjKEu-Senior-Project-Manager---New-Administrative-Capital-City-Talaat-Moustafa-Group-Cairo-Egypt?o=31&l=sp&t=sj&a=search-v3|hpb
3,Outdoor Sales Specialist (Financial Planner) - All Governorates,Allianz ,"Cairo, Egypt ",Full Time | Entry Level | 1+ Yrs of Exp | Customer Service/Support | Sales/Retail | Sales | Insurance | Financial Planning | Sales Skills | Outdoor Sales | Sales Target | Customer Service | Customer Support,https://wuzzuf.net/jobs/p/INMaePtniPcD-Outdoor-Sales-Specialist-Financial-Planner---All-Governorates-Allianz-Cairo-Egypt?o=32&l=sp&t=sj&a=search-v3|hpb
3,IT Help Desk,Burger King ,"Heliopolis, Cairo, Egypt ",Full Time | Entry Level | 1+ Yrs of Exp | Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology | Information Technology (IT) | Computer Science | computer | English | Help desk | Installation,https://wuzzuf.net/jobs/p/UromFYZFm8pW-IT-Help-Desk-Burger-King-Cairo-Egypt?o=33&l=sp&t=sj&a=search-v3|hpb
3,Audio Visual - Site Engineer,Egyptian Micro Solutions ,"Nasr City, Cairo, Egypt ",Full Time | Entry Level | 1 - 2 Yrs of Exp | males_only | Installation/Maintenance/Repair | Engineering - Telecom/Technology | Audio Visual | Communication Engineering | Electronics | Engineering | Communication skills,https://wuzzuf.net/jobs/p/jH6tCyDNrEoh-Audio-Visual---Site-Engineer-Egyptian-Micro-Solutions-Cairo-Egypt?o=34&l=sp&t=sj&a=search-v3|hpb
3,Projects Sales Engineer,Partner & More ,"Obour City, Cairo, Egypt ",Full Time | Experienced | 4 - 5 Yrs of Exp | Sales/Retail | Engineering - Mechanical/Electrical | negotiation skills | Presentation Skills | Sales,https://wuzzuf.net/jobs/p/RmqZsrFdpbCR-Projects-Sales-Engineer-Partner-More-Cairo-Egypt?o=35&l=sp&t=sj&a=search-v3|hpb
3,Sales Account Manager,Queen Tech Solutions ,"Nasr City, Cairo, Egypt ",Full Time | Experienced | 2 - 4 Yrs of Exp | females_only | Business Development | Sales/Retail | business | Sales | sales skills | Sales Target | Software | CRM | Selling,https://wuzzuf.net/jobs/p/7Zealdni1LT8-Sales-Account-Manager-Queen-Tech-Solutions-Cairo-Egypt?o=36&l=sp&t=sj&a=search-v3|hpb
3,Procurement & Maintenance Specialist,Ben Soliman ,"Mohandessin, Giza, Egypt ",Full Time | Experienced | 2 - 4 Yrs of Exp | males_only | Installation/Maintenance/Repair | Purchasing/Procurement | Purchasing | Skills | Sourcing | Procurement | Maintenance | Supply Chain,https://wuzzuf.net/jobs/p/xsuZL4ZRkZAf-Procurement-Maintenance-Specialist-Ben-Soliman-Giza-Egypt?o=37&l=sp&t=sj&a=search-v3|hpb
3,Dot Net Developer (Full Stack),Orchtech ,"Dokki, Giza, Egypt ",Full Time | Entry Level | 1 - 3 Yrs of Exp | IT/Software Development | Engineering - Telecom/Technology | .Net | Computer Science | Agile | Angular | Design | Engineering | Git | Information Technology (IT),https://wuzzuf.net/jobs/p/fA1hzXclCKPj-Dot-Net-Developer-Full-Stack-Orchtech-Giza-Egypt?o=38&l=sp&t=sj&a=search-v3|hpb
3,District Sales Manager,Fashion Retail Group ,"Cairo, Egypt ",Full Time | Manager | 9 - 9 Yrs of Exp | Sales/Retail | Operations | Retail | Communication skills | sales skills | Leadership | Coaching and mentoring skills | Planning and organizing skills | Customer Service | Negotiation,https://wuzzuf.net/jobs/p/MPIRvZvOtyxF-District-Sales-Manager-Fashion-Retail-Group-Cairo-Egypt?o=39&l=sp&t=sj&a=search-v3|hpb
3,Key Account Manager,Confidential ,"Dokki, Giza, Egypt ",Full Time | Experienced | 2 - 3 Yrs of Exp | Business Development | Sales/Retail | Pharmaceutical | Marketing | sales skills | Business Development | Pharmaceutical | Sales Target | Communication | Medical,https://wuzzuf.net/jobs/p/l6eMdL3UuXkC-Key-Account-Manager-Giza-Egypt?o=40&l=sp&t=sj&a=search-v3|hpb
3,Software Tester,Arabian Advanced Systems ,"New Cairo, Cairo, Egypt ",Full Time | Experienced | 2 - 4 Yrs of Exp | IT/Software Development | Quality | Engineering - Telecom/Technology | Computer Science | Software Testing | Testing | Quality Control | Information Technology (IT) | Software | Automation Testing,https://wuzzuf.net/jobs/p/6nb5X4xJ1ZFj-Software-Tester-Arabian-Advanced-Systems-Cairo-Egypt?o=41&l=sp&t=sj&a=search-v3|hpb
3,GL Accountant,Confidential ,"Nasr City, Cairo, Egypt ",Full Time | Experienced | 3 - 5 Yrs of Exp | Accounting/Finance | Accounting | Commerce | Finance | English | ERP | Financial Analysis | GL | MS Office,https://wuzzuf.net/jobs/p/GPSqVDmBJQag-GL-Accountant-Cairo-Egypt?o=42&l=sp&t=sj&a=search-v3|hpb
3,Sales Consultant,Orchtech ,"Dokki, Giza, Egypt ",Full Time | Entry Level | 1 - 3 Yrs of Exp | Business Development | Sales/Retail | Communication skills | Sales | Selling | English | CRM | Real Estate | sales skills | Sales Target,https://wuzzuf.net/jobs/p/I6BVujBnemX7-Sales-Consultant-Orchtech-Giza-Egypt?o=43&l=sp&t=sj&a=search-v3|hpb
3,HR Specialist-Blue Collar,pillars security ,"Cairo, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | Human Resources | Human Resources (HR) | Microsoft Office | Recruitment | Sourcing | Blue Collars,https://wuzzuf.net/jobs/p/FK9T0eScln2f-HR-Specialist-Blue-Collar-pillars-security-Cairo-Egypt?o=44&l=sp&t=sj&a=search-v3|hpb
3,Merchandising Business Analyst,Happy Vision ,"Giza, Egypt ",Full Time | Experienced | 3+ Yrs of Exp | Logistics/Supply Chain | Analyst/Research | Sales/Retail | Analyst | Analysis | analytical | business | Business Analysis | Communication | Communication skills,https://wuzzuf.net/jobs/p/GY1Cb3BCWdOD-Merchandising-Business-Analyst-Happy-Vision-Giza-Egypt?o=45&l=sp&t=sj&a=search-v3|hpb
4,Supply Chain / Procurement Engineer,Mobiserve ,"Cairo, Egypt ",Full Time | Experienced | 2 - 5 Yrs of Exp | Logistics/Supply Chain | Project/Program Management | Purchasing/Procurement | Engineering | Electrical | Mechanical | Mechanical Engineering | Pricing | Project | Tendering,https://wuzzuf.net/jobs/p/BFXAPZP3dmfD-Supply-Chain-Procurement-Engineer-Mobiserve-Cairo-Egypt?o=46&l=sp&t=sj&a=search-v3|hpb
4,Mechanical Maintenance Engineer,Groupe Atlantic ,"10th of Ramadan City, Cairo, Egypt ",Full Time | Experienced | 5 - 7 Yrs of Exp | Installation/Maintenance/Repair | Engineering - Mechanical/Electrical | Mechanical Engineering | Maintenance | Engineering | Electrical Engineering | Management | Mechanical | Equipment | Industrial,https://wuzzuf.net/jobs/p/BmfiylVW8tku-Mechanical-Maintenance-Engineer-Groupe--Atlantic-Cairo-Egypt?o=47&l=sp&t=sj&a=search-v3|hpb
